stop_id,stop_name,stop_lat,stop_long
359,Olmo Giovanni XXIII,45.517395,12.18642
360,Olmo Minzoni,45.518741999999996,12.181866000000001
361,Olmo Papa Luciani,45.519531,12.177216
362,Olmo Calvi,45.52047,12.172748
363,Maerne Cimitero,45.522057000000004,12.165795
364,Maerne Tasso,45.523148,12.162560000000001
365,Maerne Chiesa,45.523884,12.158188
366,Maerne Isonzo,45.526821000000005,12.157088
367,San Dona' Rielta,45.502476,12.271339999999999
368,Spinea Rossignago,45.493103000000005,12.161488
369,Gobbi San Dona',45.504295,12.282751
370,Martellago,45.543797,12.16242
371,Preganziol FS,45.604115,12.23175
372,Martellago Trento,45.543842,12.167463
373,Martellago Verdi,45.545769,12.162215
374,Martellago Vittoria,45.546864,12.157206
375,Cavalcavia Vempa,45.482101,12.237834
376,Trezzo Terraglio,45.50708,12.239842999999999
380,Liberta' Fincantieri,45.475475,12.251347
381,Liberta' Porto Marghera,45.470852,12.259122999999999
382,Liberta' Righi,45.469772,12.26431
384,Mestre Centro B1,45.493328000000005,12.245417999999999
392,Liberta' Santa Chiara,45.440727,12.315589
394,Tronchetto Mercato,45.443267999999996,12.307403
396,Tronchetto Tronchetto Fer,45.438972,12.304383
397,Bandiera Durando,45.477398,12.232248
398,Monte Cervino San Dona',45.502781,12.274645
399,Bandiera Cantore,45.47274,12.229663
401,Bandiera Tommaseo,45.468258,12.227089
402,Bandiera Ghega,45.464687,12.224942
404,Bandiera Cruto,45.461586,12.223125
405,Ancona Torino,45.48185,12.248132
406,Ancona Torino,45.481739000000005,12.248353999999999
407,Ancona Carbonifera,45.484322,12.250699000000001
408,Ancona Carbonifera,45.48423,12.250867999999999
414,Padana Colombara,45.456512,12.217882000000001
415,Malcontenta Padana,45.451042,12.213978
417,Malcontenta Chimica,45.445923,12.211212
419,Malcontenta Chiesa,45.437775,12.20547
420,Capolinea Fusina,45.41938,12.256454
421,Moranzani Elettronica,45.424934,12.247364
422,Moranzani Conca,45.427933,12.240947
426,Malcontenta Fimon,45.439289,12.200235000000001
427,Malcontenta Iseo,45.44257,12.197197000000001
428,Ca' Brentelle,45.446739,12.196758
429,Malcontenta Erba,45.44627,12.194299
430,Ca' Sabbioni Piva,45.457775,12.185707
431,Ca' Sabbioni Marcuzzo,45.457962,12.181393
432,Capolinea Ca' Sabbioni,45.456276,12.185546
434,Ca' Sabbioni Zorzi,45.457184000000005,12.18057
